age,basket,checkout,region,coupon,gender,monthly_spend,shipping_fee,subscriber,tenure
58.0,32.0,False,B,True,m,122.22,20.0,False,1.0
40.0,27.8,False,B,True,f,92.42,20.0,False,12.0
26.0,20.4,False,B,False,f,81.3,20.0,False,12.0
33.0,46.3,True,B,True,m,171.63,20.0,True,23.0
41.0,26.6,False,A,False,f,80.65,5.0,False,2.0
44.0,45.9,False,B,False,m,134.58,20.0,False,16.0
23.0,11.3,False,C,False,m,36.77,10.0,False,1.0
32.0,190.0,False,D,False,f,152.33,67.5,False,4.0
26.0,34.1,False,B,False,f,102.28,20.0,False,1.0
62.0,32.1,False,B,False,m,93.64,20.0,False,6.0
56.0,48.9,False,B,False,m,171.36,20.0,False,1.0
36.0,45.2,False,B,False,m,119.62,20.0,False,17.0
40.0,28.3,False,B,False,m,112.41,20.0,False,5.0
47.0,39.8,False,B,False,f,131.44,20.0,False,10.0
29.0,19.6,False,B,False,f,65.97,20.0,False,1.0
49.0,22.1,False,E,True,m,82.56,15.0,False,1.0
42.0,43.1,False,A,False,f,129.29,5.0,False,16.0
35.0,21.0,False,B,False,f,76.91,20.0,False,9.0
35.0,59.2,False,C,False,f,203.45,0.0,False,2.0
26.0,20.9,False,B,False,f,106.21,20.0,False,7.0
35.0,30.6,False,B,True,f,104.34,20.0,False,17.0
54.0,29.2,False,B,False,f,140.72,20.0,False,15.0
56.0,58.0,False,B,True,f,136.25,20.0,False,2.0
20.0,23.0,False,E,True,m,79.7,15.0,False,5.0
20.0,23.5,False,B,False,m,75.45,20.0,False,13.0
39.0,29.4,False,B,True,m,132.43,20.0,False,1.0
40.0,26.5,False,E,False,m,109.5,15.0,False,4.0
48.0,20.0,False,A,False,f,116.02,5.0,False,2.0
41.0,35.0,False,B,False,f,105.9,20.0,False,11.0
42.0,32.3,False,B,False,f,117.14,20.0,False,8.0
53.0,33.4,False,B,False,f,147.25,20.0,False,4.0
43.0,39.0,False,B,False,f,113.59,20.0,False,2.0
34.0,18.6,False,B,False,m,73.3,20.0,False,1.0
36.0,23.9,False,B,False,m,86.88,20.0,False,2.0
24.0,20.5,False,B,False,m,68.87,20.0,False,2.0
27.0,31.6,False,B,False,m,109.42,20.0,False,7.0
35.0,23.2,False,B,False,m,93.68,20.0,False,9.0
36.0,23.3,False,A,False,f,95.12,5.0,False,3.0
57.0,67.7,False,B,False,f,217.4,20.0,False,26.0
35.0,17.4,False,B,True,m,72.99,20.0,False,2.0
35.0,36.9,False,C,False,f,166.55,0.0,False,16.0
31.0,26.8,False,B,False,f,103.11,20.0,False,3.0
30.0,28.3,False,A,False,f,105.22,5.0,False,4.0
32.0,21.0,False,B,False,f,74.59,20.0,False,2.0
47.0,37.4,False,E,False,f,137.28,15.0,False,7.0
36.0,34.0,False,B,False,m,109.17,20.0,False,6.0
31.0,24.5,False,B,True,f,78.35,20.0,False,6.0
22.0,25.2,False,B,False,f,94.69,20.0,False,19.0
32.0,19.9,False,B,False,f,75.37,20.0,False,3.0
45.0,38.7,False,B,True,f,136.99,20.0,False,12.0
40.0,16.5,False,B,False,f,71.33,20.0,False,4.0
43.0,34.1,False,E,False,f,123.8,15.0,False,7.0
33.0,33.3,False,C,False,m,105.63,0.0,False,23.0
32.0,42.0,False,B,False,f,133.82,20.0,False,2.0
24.0,14.9,False,A,True,f,55.88,5.0,False,6.0
58.0,26.0,False,A,False,f,124.34,5.0,False,5.0
41.0,21.7,False,B,False,f,96.92,20.0,False,4.0
18.0,18.4,False,B,False,f,68.45,20.0,False,2.0
30.0,31.0,False,B,True,f,100.0,20.0,False,5.0
42.0,20.8,False,B,True,f,78.03,20.0,False,8.0
53.0,25.6,False,B,False,f,102.44,20.0,False,13.0
26.0,23.2,False,B,False,m,91.37,20.0,False,1.0
47.0,22.8,False,B,False,f,93.93,20.0,False,4.0
20.0,27.7,False,B,False,m,81.44,20.0,False,2.0
42.0,22.4,False,A,False,f,86.27,5.0,False,12.0
31.0,33.3,False,B,True,f,102.87,20.0,False,5.0
35.0,24.7,False,B,False,m,96.1,20.0,False,2.0
50.0,38.2,False,B,False,f,138.46,20.0,False,10.0
32.0,25.1,False,B,False,m,98.27,20.0,False,26.0
28.0,19.3,True,B,True,m,48.98,20.0,False,5.0
45.0,33.3,False,B,False,f,91.27,20.0,False,5.0
35.0,25.3,False,B,False,m,77.24,20.0,False,5.0
44.0,63.9,False,B,False,f,230.02,20.0,False,2.0
33.0,39.6,False,B,False,f,126.95,20.0,False,6.0
52.0,19.4,False,B,True,f,105.76,20.0,False,1.0
37.0,40.5,False,B,False,f,129.39,20.0,False,9.0
48.0,38.8,False,B,True,f,128.28,20.0,False,1.0
42.0,40.0,False,B,False,f,140.34,20.0,False,4.0
25.0,20.4,False,B,True,f,69.63,20.0,False,2.0
47.0,215.3,False,D,False,f,190.4,0.0,False,8.0
39.0,27.1,False,B,False,m,101.63,20.0,False,20.0
20.0,7.7,False,B,False,f,51.46,20.0,False,3.0
19.0,25.6,False,B,False,f,73.69,20.0,False,2.0
42.0,30.7,False,B,False,f,107.91,20.0,False,1.0
31.0,21.4,True,A,True,f,82.86,5.0,False,7.0
44.0,33.3,False,B,False,f,124.97,20.0,False,14.0
29.0,24.1,False,E,False,m,100.65,15.0,False,6.0
20.0,39.3,False,B,False,f,141.03,20.0,False,13.0
25.0,23.7,False,B,False,m,95.77,20.0,False,4.0
41.0,34.3,False,B,False,m,115.66,20.0,False,11.0
41.0,39.3,False,C,False,f,125.17,0.0,False,9.0
26.0,18.9,False,B,False,f,78.62,20.0,False,3.0
24.0,18.1,False,B,False,m,57.61,20.0,False,4.0
35.0,25.1,False,C,False,f,85.44,10.0,False,5.0
44.0,46.3,False,B,True,f,161.75,20.0,False,12.0
34.0,19.4,False,B,True,f,91.27,20.0,False,5.0
36.0,26.7,False,B,False,m,115.08,20.0,False,4.0
41.0,26.5,False,B,True,f,132.9,20.0,False,5.0
32.0,43.6,False,B,False,f,130.4,20.0,False,1.0
33.0,32.8,False,B,False,m,154.3,20.0,False,12.0
23.0,15.7,False,B,False,m,117.41,20.0,False,11.0
44.0,33.1,False,B,True,f,108.19,20.0,False,15.0
54.0,26.1,False,A,False,m,111.86,5.0,False,7.0
30.0,34.9,False,B,False,m,126.82,20.0,True,17.0
35.0,21.9,False,A,False,f,85.81,5.0,False,6.0
31.0,45.4,False,E,False,f,147.31,15.0,False,1.0
33.0,36.4,False,B,False,f,117.95,20.0,False,11.0
24.0,22.2,True,E,False,f,55.39,15.0,False,2.0
37.0,27.1,False,B,True,f,112.33,20.0,False,13.0
52.0,21.9,False,B,True,m,100.65,20.0,False,13.0
28.0,13.6,False,B,True,m,63.75,20.0,False,2.0
48.0,22.8,False,B,False,f,91.09,20.0,False,10.0
37.0,20.6,False,B,False,m,76.08,20.0,False,10.0
28.0,16.9,False,B,False,m,63.8,20.0,False,2.0
33.0,42.0,False,C,False,m,156.92,0.0,False,6.0
35.0,19.1,False,A,False,m,88.78,5.0,False,4.0
47.0,31.5,False,A,True,m,146.82,5.0,False,27.0
33.0,20.8,False,C,False,f,93.45,10.0,False,5.0
41.0,17.4,False,B,False,m,72.99,20.0,False,2.0
34.0,21.3,False,B,False,m,91.5,20.0,False,10.0
28.0,19.4,False,B,False,f,91.28,20.0,False,12.0
33.0,60.9,False,B,False,f,174.62,20.0,False,8.0
37.0,32.3,False,E,True,m,117.22,15.0,False,7.0
25.0,29.9,False,B,False,m,120.22,20.0,False,6.0
32.0,32.1,False,B,False,m,111.07,20.0,False,9.0
22.0,50.1,False,A,False,m,137.76,0.0,False,12.0
53.0,37.0,False,B,False,m,109.34,20.0,False,9.0
35.0,36.4,False,B,False,f,104.67,20.0,False,13.0
32.0,28.8,False,B,False,m,97.68,20.0,False,2.0
30.0,20.5,False,B,False,f,75.16,20.0,False,4.0
34.0,31.9,False,B,False,f,119.07,20.0,False,2.0
42.0,30.4,False,B,False,f,99.79,20.0,False,3.0
33.0,32.3,False,B,False,m,111.32,20.0,False,6.0
38.0,24.2,False,A,False,f,102.04,5.0,False,4.0
36.0,22.4,False,A,True,f,85.59,5.0,False,2.0
19.0,23.0,False,B,False,m,99.3,20.0,False,23.0
29.0,20.7,False,C,False,f,70.77,10.0,False,6.0
34.0,31.7,False,B,False,f,143.89,20.0,False,14.0
51.0,36.3,False,B,False,f,149.25,20.0,False,13.0
32.0,31.7,False,B,False,m,104.05,20.0,False,3.0
26.0,21.2,False,B,True,f,138.72,20.0,False,10.0
21.0,26.8,False,B,False,f,109.32,20.0,False,19.0
34.0,28.4,False,B,False,f,96.49,20.0,False,6.0
43.0,34.3,False,A,False,f,140.15,5.0,False,16.0
47.0,49.7,False,B,False,f,158.52,20.0,False,9.0
49.0,27.0,True,A,True,f,115.68,5.0,False,1.0
19.0,33.4,False,B,False,f,126.37,20.0,False,14.0
39.0,66.2,False,B,True,m,198.42,20.0,False,4.0
29.0,24.3,False,B,False,m,98.69,20.0,False,17.0
35.0,28.5,False,B,False,f,94.57,20.0,False,10.0
36.0,36.0,False,B,False,m,126.84,20.0,False,4.0
44.0,34.4,False,B,False,f,116.54,20.0,False,3.0
31.0,25.1,True,C,True,f,89.59,10.0,False,2.0
18.0,31.3,False,B,False,f,99.31,20.0,False,8.0
22.0,28.1,False,B,False,f,97.12,20.0,False,2.0
24.0,27.8,False,B,True,f,106.72,20.0,False,17.0
23.0,23.4,False,B,False,m,78.05,20.0,False,1.0
46.0,22.2,False,B,False,f,73.63,20.0,False,2.0
58.0,31.1,False,C,False,f,133.67,0.0,False,11.0
46.0,46.4,False,B,False,f,169.24,20.0,False,7.0
51.0,22.1,False,A,False,m,79.83,5.0,False,4.0
54.0,32.7,False,B,False,f,119.2,20.0,False,12.0
41.0,47.2,True,B,False,m,151.6,20.0,False,21.0
31.0,22.7,False,B,False,f,90.14,20.0,False,1.0
31.0,22.9,False,C,False,m,79.9,10.0,False,4.0
18.0,16.4,False,B,True,f,60.84,20.0,False,17.0
18.0,39.5,False,B,True,m,117.82,20.0,False,6.0
28.0,20.5,False,B,True,f,94.16,20.0,False,13.0
35.0,31.4,False,B,False,m,97.6,20.0,False,2.0
27.0,44.6,True,B,False,f,133.23,20.0,False,10.0
22.0,20.6,False,B,True,m,73.52,20.0,False,18.0
34.0,44.3,False,B,True,f,189.65,20.0,True,28.0
55.0,45.5,False,B,False,f,137.95,20.0,False,14.0
21.0,14.9,False,B,False,f,51.61,20.0,False,13.0
34.0,25.6,False,B,False,m,98.33,20.0,True,13.0
34.0,24.0,False,B,True,f,75.66,20.0,False,3.0
29.0,20.0,True,A,False,f,74.84,5.0,False,9.0
42.0,17.7,False,B,False,f,109.68,20.0,False,7.0
32.0,18.2,False,B,False,f,64.22,20.0,False,6.0
46.0,19.6,False,B,True,f,126.3,20.0,False,4.0
50.0,31.6,False,B,True,m,113.01,20.0,False,14.0
31.0,21.2,False,B,False,m,98.62,20.0,False,9.0
33.0,31.7,False,B,False,f,95.73,20.0,False,4.0
56.0,26.3,False,C,False,m,105.5,10.0,False,3.0
42.0,32.1,False,B,False,f,94.98,20.0,False,8.0
27.0,14.5,False,A,False,m,59.52,5.0,False,10.0
32.0,30.6,False,B,False,f,125.03,20.0,False,3.0
40.0,35.5,False,B,False,f,112.85,20.0,False,9.0
49.0,58.4,False,B,True,f,187.44,20.0,False,13.0
32.0,25.1,False,B,False,f,89.19,20.0,False,3.0
34.0,23.1,False,B,False,f,110.88,20.0,False,13.0
20.0,24.9,False,A,True,f,70.99,5.0,False,2.0
29.0,27.2,False,B,False,f,112.83,20.0,False,2.0
24.0,21.4,False,B,True,f,48.36,20.0,False,11.0
30.0,27.7,True,B,True,f,129.55,20.0,False,10.0
32.0,15.9,False,E,False,f,83.02,15.0,False,18.0
28.0,27.6,False,E,True,m,89.85,15.0,False,6.0
42.0,26.1,False,A,False,m,92.84,5.0,False,8.0
32.0,24.8,False,B,True,m,87.46,20.0,False,2.0
46.0,29.6,False,B,False,f,104.77,20.0,False,12.0
19.0,20.3,True,A,True,f,64.08,5.0,False,3.0
39.0,33.9,False,B,False,m,152.89,20.0,False,17.0
44.0,26.2,False,B,True,f,104.28,20.0,False,2.0
24.0,32.7,False,B,False,f,114.05,20.0,False,5.0
49.0,49.2,False,B,False,f,159.12,20.0,False,2.0
35.0,29.4,False,B,False,f,97.4,20.0,False,2.0
58.0,24.0,False,B,True,m,107.75,20.0,False,11.0
26.0,19.8,False,A,False,f,72.73,5.0,False,7.0
45.0,49.5,False,B,False,f,181.25,20.0,False,10.0
18.0,12.0,False,B,True,f,44.98,20.0,False,1.0
29.0,14.8,False,B,False,m,48.64,20.0,False,1.0
24.0,24.3,False,B,True,f,75.65,20.0,False,5.0
50.0,31.8,False,B,False,f,104.29,20.0,False,17.0
37.0,25.3,False,B,False,m,89.26,20.0,False,6.0
31.0,50.1,False,B,True,f,116.02,20.0,True,23.0
33.0,44.2,False,B,False,m,146.14,20.0,False,13.0
43.0,12.9,False,B,False,m,132.13,20.0,False,3.0
35.0,37.7,False,C,False,m,137.29,0.0,False,1.0
42.0,50.7,False,B,False,f,145.52,20.0,False,4.0
64.0,31.4,False,E,False,m,90.25,15.0,False,5.0
26.0,22.3,False,B,False,f,105.48,20.0,False,4.0
42.0,53.2,False,B,False,f,170.45,20.0,False,4.0
18.0,14.6,False,C,False,m,39.22,10.0,False,10.0
30.0,69.7,True,C,False,m,233.35,0.0,False,32.0
57.0,24.9,False,A,False,m,148.16,5.0,False,7.0
33.0,26.2,False,B,False,f,84.18,20.0,False,4.0
27.0,16.6,False,C,False,f,58.25,10.0,False,1.0
43.0,31.7,False,B,False,f,144.88,20.0,False,4.0
46.0,95.2,False,A,False,f,327.57,0.0,True,19.0
39.0,35.4,False,B,False,f,90.64,20.0,False,5.0
18.0,19.3,False,B,False,m,49.23,20.0,False,5.0
43.0,26.5,False,B,False,f,103.61,20.0,False,1.0
38.0,33.7,False,B,False,f,114.88,20.0,False,8.0
40.0,25.5,False,E,False,f,110.31,15.0,False,14.0
25.0,17.6,False,A,False,f,79.89,5.0,False,2.0
53.0,37.8,False,A,False,f,125.7,5.0,False,11.0
43.0,25.3,True,B,True,f,97.92,20.0,False,3.0
28.0,26.3,False,B,True,m,87.42,20.0,False,9.0
37.0,20.9,False,B,True,f,78.94,20.0,False,2.0
41.0,34.8,False,C,False,f,121.29,0.0,False,11.0
30.0,24.2,False,B,True,f,89.25,20.0,False,14.0
61.0,28.4,True,B,False,f,104.06,20.0,False,3.0
31.0,28.9,False,B,False,f,89.69,20.0,False,4.0
36.0,19.4,False,C,False,f,96.79,10.0,False,19.0
33.0,27.5,False,B,False,f,108.26,20.0,False,13.0
47.0,18.2,False,A,False,f,123.27,5.0,False,2.0
31.0,32.5,False,B,False,f,106.16,20.0,False,9.0
48.0,25.0,False,B,True,f,174.47,20.0,False,17.0
32.0,18.4,False,B,False,f,132.62,20.0,False,3.0
27.0,31.0,False,B,True,m,127.15,20.0,False,6.0
22.0,20.9,False,B,False,f,90.9,20.0,False,19.0
47.0,24.0,True,B,True,m,134.76,20.0,False,1.0
40.0,35.4,False,B,False,m,112.48,20.0,False,6.0
33.0,26.9,False,B,False,m,87.31,20.0,False,15.0
39.0,23.2,False,A,False,f,103.73,5.0,False,10.0
49.0,25.4,False,B,False,m,114.85,20.0,False,11.0
45.0,34.3,False,A,False,m,109.95,5.0,False,1.0
49.0,48.3,False,C,False,f,164.21,0.0,False,4.0
49.0,38.4,False,B,False,f,148.11,20.0,False,3.0
30.0,16.8,False,B,False,m,69.93,20.0,False,6.0
33.0,23.1,False,B,False,f,119.48,20.0,False,6.0
27.0,30.1,False,B,True,f,107.78,20.0,False,1.0
30.0,35.2,False,B,False,m,126.96,20.0,True,17.0
39.0,33.7,False,A,True,f,135.47,5.0,True,13.0
28.0,17.1,False,B,False,f,82.51,20.0,False,4.0
43.0,32.9,False,C,False,f,88.28,0.0,False,4.0
31.0,38.2,False,C,False,f,122.85,0.0,False,11.0
35.0,25.7,False,B,True,m,120.03,20.0,False,12.0
56.0,33.1,True,B,False,f,110.86,20.0,False,17.0
41.0,23.1,False,B,False,m,100.37,20.0,False,1.0
28.0,31.6,False,B,False,f,95.38,20.0,False,2.0
43.0,17.0,True,B,False,f,53.27,20.0,False,9.0
35.0,39.8,False,B,False,f,146.44,20.0,False,9.0
32.0,27.7,False,B,False,f,78.25,20.0,False,1.0
50.0,25.0,False,B,True,f,130.18,20.0,False,3.0
35.0,21.7,False,B,False,m,102.67,20.0,False,8.0
42.0,36.9,False,B,False,f,110.43,20.0,False,22.0
46.0,67.8,False,B,False,f,182.24,20.0,False,4.0
26.0,17.9,False,B,False,m,59.73,20.0,False,2.0
36.0,38.8,False,B,True,f,124.27,20.0,False,6.0
28.0,39.5,False,A,False,m,137.5,5.0,False,20.0
26.0,22.2,True,B,True,f,108.01,20.0,False,2.0
26.0,23.8,False,C,False,f,76.79,10.0,False,1.0
26.0,16.0,False,B,False,m,60.29,20.0,False,14.0
32.0,56.4,False,C,False,f,223.6,0.0,True,16.0
54.0,35.5,False,B,True,f,96.65,20.0,False,1.0
49.0,40.3,False,B,False,m,143.1,20.0,False,1.0
23.0,21.0,False,B,True,f,48.86,20.0,False,19.0
34.0,20.6,False,B,False,f,82.22,20.0,False,5.0
25.0,23.2,False,B,False,f,94.49,20.0,False,5.0
50.0,26.8,False,B,False,f,104.35,20.0,True,18.0
43.0,19.3,False,A,False,f,107.91,5.0,False,1.0
29.0,20.6,False,B,False,m,72.2,20.0,False,7.0
45.0,34.3,False,C,True,f,117.9,0.0,False,3.0
49.0,25.9,False,B,True,m,115.3,20.0,False,3.0
45.0,39.0,False,E,False,f,123.68,15.0,False,4.0
31.0,50.9,False,B,True,m,222.87,20.0,False,5.0
38.0,21.9,False,E,False,f,92.54,15.0,False,3.0
43.0,23.9,False,B,False,m,88.45,20.0,False,19.0
21.0,51.2,False,B,True,f,182.32,20.0,False,8.0
23.0,18.4,False,E,True,f,68.08,15.0,False,7.0
37.0,17.0,False,B,True,m,90.13,20.0,False,7.0
46.0,20.9,False,B,False,f,108.05,20.0,False,6.0
34.0,17.9,False,C,True,m,56.11,10.0,False,1.0
41.0,30.6,False,B,False,f,104.59,20.0,False,3.0
51.0,32.6,False,A,False,f,154.41,5.0,False,8.0
43.0,43.6,False,B,True,f,157.34,20.0,False,14.0
49.0,22.0,False,C,False,f,127.47,10.0,False,4.0
38.0,22.5,False,B,False,m,96.31,20.0,False,8.0
27.0,25.6,False,B,False,f,67.59,20.0,False,3.0
46.0,18.0,False,B,False,f,158.41,20.0,False,17.0
31.0,27.7,False,B,False,f,75.9,20.0,False,3.0
39.0,51.9,False,B,True,f,219.49,20.0,False,4.0
40.0,29.3,False,A,False,f,115.77,5.0,False,5.0
28.0,29.3,False,B,True,f,96.3,20.0,False,5.0
23.0,17.6,True,B,True,m,73.15,20.0,False,4.0
38.0,35.0,False,B,False,f,129.91,20.0,False,8.0
46.0,28.0,True,B,False,f,140.25,20.0,False,1.0
32.0,19.7,False,B,False,f,69.77,20.0,False,3.0
45.0,32.7,False,B,False,f,121.07,20.0,False,4.0
60.0,52.7,False,B,False,f,162.09,20.0,False,18.0
25.0,18.7,False,B,False,m,81.06,20.0,False,1.0
43.0,175.4,False,D,True,f,112.96,62.82,False,12.0
63.0,22.1,False,B,False,m,102.34,20.0,False,6.0
34.0,24.7,False,B,True,m,76.59,20.0,False,9.0
40.0,42.6,False,B,True,f,135.68,20.0,False,9.0
31.0,19.5,False,B,False,f,90.39,20.0,False,2.0
24.0,17.0,False,B,False,m,76.47,20.0,False,9.0
26.0,19.4,False,C,False,m,59.83,10.0,False,8.0
42.0,36.6,False,E,True,f,134.18,15.0,False,16.0
44.0,34.4,True,B,False,m,118.4,20.0,False,7.0
46.0,36.8,False,E,False,f,191.3,15.0,False,27.0
41.0,31.7,False,A,False,f,110.5,5.0,False,4.0
51.0,30.2,False,C,False,f,103.6,0.0,False,11.0
48.0,21.6,False,E,False,f,91.0,15.0,False,4.0
48.0,17.4,False,B,False,f,113.44,20.0,False,7.0
43.0,24.5,False,B,False,m,90.16,20.0,False,2.0
28.0,20.8,False,C,False,m,76.64,10.0,False,16.0
30.0,56.6,False,B,True,f,183.72,20.0,False,6.0
37.0,20.1,False,B,False,m,81.99,20.0,False,7.0
34.0,45.8,False,B,False,f,140.82,20.0,False,18.0
37.0,42.9,False,B,False,f,116.97,20.0,False,8.0
47.0,24.3,False,C,False,f,90.17,10.0,False,1.0
40.0,30.2,False,B,True,f,105.13,20.0,False,2.0
