age,region,gender,monthly_spend,subscriber,tenure
30.0,B,f,153.73,False,5.0
48.0,D,f,139.48,False,7.0
41.0,A,m,140.83,False,12.0
23.0,B,f,69.08,False,9.0
28.0,B,f,107.98,False,5.0
25.0,B,f,69.42,False,14.0
34.0,B,f,89.06,False,3.0
31.0,B,f,127.45,False,6.0
46.0,B,f,148.78,False,2.0
27.0,D,f,98.83,False,4.0
44.0,B,f,114.62,False,2.0
38.0,B,f,154.93,False,4.0
30.0,C,m,53.04,False,1.0
34.0,C,f,89.42,False,4.0
35.0,B,f,151.22,True,13.0
36.0,B,f,107.71,False,8.0
30.0,B,f,97.97,False,5.0
27.0,B,m,63.89,False,1.0
48.0,B,f,106.16,False,1.0
40.0,D,m,155.33,False,14.0
21.0,B,f,113.27,False,6.0
32.0,B,f,84.8,False,5.0
57.0,C,f,126.74,False,6.0
43.0,B,m,87.09,False,3.0
30.0,B,m,212.89,True,15.0
27.0,A,f,114.6,False,22.0
42.0,B,f,110.8,False,3.0
51.0,B,f,145.84,False,1.0
31.0,A,f,89.45,False,8.0
32.0,E,f,195.69,False,8.0
41.0,E,f,143.53,False,7.0
42.0,B,m,98.21,False,4.0
29.0,B,f,105.36,False,6.0
57.0,B,f,91.83,False,4.0
35.0,B,m,98.38,False,15.0
36.0,B,f,88.83,False,3.0
34.0,E,f,80.21,False,4.0
40.0,D,f,138.9,False,3.0
20.0,E,f,80.83,False,9.0
51.0,E,f,144.13,False,2.0
39.0,B,f,70.95,False,3.0
43.0,B,f,92.76,False,1.0
38.0,B,m,113.26,False,24.0
21.0,B,f,69.22,False,9.0
25.0,B,f,81.74,False,9.0
29.0,E,f,165.26,False,3.0
34.0,E,f,103.86,False,5.0
39.0,B,m,132.62,False,9.0
34.0,B,f,318.67,False,5.0
52.0,B,f,129.42,False,12.0
20.0,D,f,35.86,False,2.0
32.0,B,f,150.97,False,16.0
38.0,B,f,87.03,False,2.0
32.0,B,f,132.45,False,13.0
28.0,B,m,86.82,False,7.0
35.0,A,f,92.35,False,9.0
35.0,B,f,116.06,False,4.0
46.0,E,f,100.43,False,9.0
42.0,B,m,109.42,False,21.0
37.0,B,m,88.28,False,1.0
37.0,B,f,81.37,False,10.0
44.0,B,f,119.14,False,2.0
25.0,B,f,92.15,True,17.0
33.0,B,f,89.62,False,9.0
25.0,B,f,161.29,False,1.0
45.0,A,f,130.29,False,3.0
55.0,B,m,104.07,False,4.0
32.0,B,f,171.97,False,12.0
40.0,B,m,177.33,False,14.0
37.0,A,f,101.73,False,2.0
50.0,B,f,139.57,False,6.0
18.0,B,f,43.52,False,3.0
36.0,B,m,78.11,False,3.0
39.0,B,f,148.86,False,15.0
36.0,B,f,108.27,False,7.0
57.0,B,m,156.93,False,24.0
40.0,E,f,167.34,False,5.0
29.0,C,f,55.83,False,3.0
47.0,B,m,108.3,False,3.0
39.0,A,f,108.69,False,12.0
34.0,E,m,113.95,False,18.0
26.0,A,f,98.42,False,11.0
61.0,B,m,129.37,False,6.0
45.0,B,m,169.91,False,16.0
38.0,B,f,104.89,False,1.0
49.0,C,f,164.26,True,21.0
34.0,E,f,92.73,False,10.0
50.0,C,f,115.3,False,8.0
27.0,B,f,114.52,False,5.0
50.0,B,f,265.11,True,30.0
50.0,B,m,89.92,False,7.0
37.0,B,f,97.05,False,6.0
28.0,D,f,80.21,False,2.0
32.0,B,f,122.5,False,12.0
39.0,B,m,230.47,False,27.0
23.0,B,m,62.64,False,7.0
25.0,B,m,52.09,False,7.0
27.0,E,m,53.3,False,7.0
38.0,E,m,105.4,False,10.0
46.0,B,f,134.05,False,5.0
20.0,A,f,41.59,False,6.0
41.0,B,m,89.41,False,15.0
26.0,A,f,106.01,False,2.0
36.0,B,f,89.94,False,6.0
36.0,B,f,135.16,True,20.0
35.0,A,f,191.65,False,10.0
25.0,E,m,74.69,False,9.0
40.0,E,f,133.23,True,21.0
26.0,B,f,54.2,False,2.0
33.0,B,f,94.16,False,5.0
46.0,C,f,110.55,False,8.0
61.0,E,f,193.7,True,28.0
62.0,A,f,138.44,False,4.0
23.0,D,f,95.5,False,2.0
22.0,B,f,60.64,False,6.0
42.0,B,f,128.35,False,20.0
18.0,B,f,79.57,False,6.0
27.0,B,f,89.19,False,3.0
58.0,B,f,230.67,False,39.0
25.0,B,m,57.4,False,4.0
46.0,A,f,97.78,False,1.0
23.0,B,m,134.47,False,5.0
34.0,C,f,95.93,False,12.0
40.0,B,m,122.2,False,6.0
34.0,B,m,118.11,False,7.0
33.0,B,f,164.17,False,7.0
31.0,B,m,139.86,False,27.0
30.0,B,f,106.75,False,3.0
29.0,B,m,99.55,False,7.0
38.0,A,m,131.61,False,8.0
37.0,B,f,89.01,False,5.0
27.0,A,f,76.9,False,7.0
32.0,B,f,194.04,True,15.0
40.0,A,f,175.29,False,33.0
47.0,B,m,178.95,False,15.0
43.0,B,f,118.53,False,2.0
41.0,B,f,153.82,False,5.0
27.0,B,f,73.7,False,7.0
36.0,B,f,107.28,False,5.0
36.0,D,f,105.48,False,14.0
23.0,B,f,78.9,False,16.0
28.0,B,f,111.89,True,21.0
22.0,B,f,64.13,False,13.0
36.0,B,f,117.77,False,5.0
30.0,A,f,55.4,False,2.0
46.0,B,m,112.92,False,11.0
27.0,B,f,126.55,False,1.0
40.0,C,f,262.76,True,41.0
42.0,B,f,201.76,False,1.0
52.0,B,f,130.08,False,11.0
40.0,B,f,89.34,False,2.0
25.0,A,f,90.57,False,4.0
45.0,B,f,95.04,False,3.0
43.0,B,m,127.5,False,5.0
21.0,B,f,53.79,False,2.0
22.0,B,m,132.06,False,15.0
44.0,B,f,117.07,False,1.0
45.0,B,f,99.75,False,10.0
43.0,B,m,120.93,False,2.0
40.0,B,m,106.6,False,2.0
33.0,B,f,78.04,False,7.0
23.0,E,m,61.49,False,3.0
20.0,B,m,108.78,False,23.0
37.0,B,f,107.87,False,3.0
33.0,B,f,77.85,False,4.0
23.0,B,m,102.09,False,10.0
49.0,E,f,212.18,False,4.0
33.0,E,m,141.98,True,15.0
18.0,B,f,86.86,False,1.0
31.0,C,f,74.89,False,12.0
27.0,B,m,66.9,False,5.0
37.0,B,m,155.75,False,4.0
64.0,A,f,113.74,False,9.0
36.0,B,m,130.56,False,7.0
32.0,B,f,81.11,False,4.0
28.0,A,m,143.99,False,15.0
53.0,A,m,182.47,False,1.0
29.0,B,m,90.13,False,1.0
36.0,B,f,116.06,False,2.0
34.0,E,f,217.91,False,5.0
37.0,B,f,180.93,False,10.0
40.0,E,m,123.93,False,16.0
48.0,B,m,120.19,False,2.0
49.0,E,m,92.26,False,7.0
36.0,B,f,173.22,True,19.0
45.0,B,f,123.97,False,12.0
52.0,E,f,86.57,False,7.0
30.0,B,f,116.51,False,3.0
57.0,B,m,91.14,False,5.0
41.0,E,m,110.55,False,9.0
38.0,B,m,71.01,False,6.0
38.0,B,m,119.91,False,2.0
30.0,E,f,96.67,False,4.0
44.0,B,f,104.61,False,1.0
22.0,B,f,63.4,False,8.0
43.0,B,f,115.05,False,6.0
34.0,B,f,97.54,False,5.0
42.0,B,m,128.36,False,9.0
30.0,B,f,131.57,False,8.0
28.0,E,f,108.73,False,8.0
37.0,B,m,201.72,False,3.0
39.0,B,f,249.53,False,1.0
47.0,D,f,107.73,False,10.0
29.0,A,f,92.25,False,11.0
39.0,A,f,121.51,False,3.0
35.0,A,m,73.38,False,5.0
29.0,B,f,148.26,False,2.0
37.0,A,f,101.63,False,2.0
46.0,B,f,118.07,False,3.0
37.0,B,f,84.73,False,3.0
39.0,B,f,172.4,False,5.0
37.0,B,m,129.16,False,12.0
37.0,C,f,109.55,False,12.0
49.0,B,f,87.24,False,1.0
49.0,B,f,141.09,False,3.0
33.0,B,f,151.33,False,4.0
25.0,B,m,128.93,False,5.0
28.0,B,m,84.06,False,10.0
29.0,B,f,87.2,False,5.0
27.0,E,m,85.22,False,9.0
31.0,B,f,112.7,False,3.0
27.0,C,f,130.98,False,5.0
25.0,B,m,184.96,False,1.0
27.0,B,m,127.43,False,11.0
33.0,E,m,126.16,False,5.0
47.0,C,f,102.75,False,10.0
20.0,B,f,66.54,False,5.0
67.0,B,m,103.11,False,5.0
54.0,B,f,167.31,False,1.0
42.0,E,m,90.13,False,6.0
25.0,B,f,98.67,False,4.0
27.0,B,f,90.13,False,2.0
23.0,B,f,70.31,False,14.0
51.0,B,m,109.58,False,19.0
23.0,B,f,129.49,False,6.0
42.0,B,f,108.56,False,4.0
34.0,E,f,157.44,False,11.0
40.0,D,m,107.69,False,3.0
50.0,D,m,142.66,False,7.0
50.0,B,f,115.67,False,7.0
58.0,B,f,96.38,False,3.0
38.0,B,f,103.2,False,6.0
33.0,B,f,112.6,False,7.0
27.0,B,f,63.86,False,1.0
32.0,B,f,121.62,False,2.0
31.0,B,f,100.91,False,2.0
27.0,B,f,208.9,True,25.0
45.0,B,f,194.67,False,9.0
45.0,B,f,120.46,False,12.0
32.0,B,m,72.31,False,8.0
31.0,B,m,82.9,False,4.0
21.0,C,f,90.68,False,4.0
61.0,B,f,148.0,False,8.0
35.0,C,f,80.74,False,3.0
30.0,E,f,85.64,False,3.0
18.0,B,m,35.37,False,7.0
49.0,B,f,80.63,False,1.0
41.0,B,m,119.25,False,6.0
37.0,A,f,253.26,True,40.0
44.0,B,f,124.21,False,3.0
37.0,B,m,58.83,False,3.0
18.0,D,f,42.42,False,4.0
28.0,B,m,98.11,False,12.0
33.0,B,f,115.77,True,13.0
23.0,E,m,82.74,False,18.0
38.0,B,f,99.91,False,14.0
42.0,B,f,141.37,True,13.0
47.0,B,f,113.14,False,3.0
34.0,B,f,186.52,False,16.0
18.0,B,m,63.47,False,4.0
37.0,B,m,194.81,True,15.0
42.0,B,m,96.4,False,7.0
24.0,E,m,61.33,False,5.0
42.0,C,f,98.02,False,3.0
26.0,A,f,81.95,False,9.0
28.0,A,m,193.71,False,10.0
25.0,A,f,76.83,False,9.0
38.0,B,m,168.39,False,2.0
32.0,E,m,101.46,True,13.0
41.0,B,f,103.5,False,5.0
33.0,B,f,133.37,False,12.0
27.0,B,f,96.74,False,6.0
34.0,B,m,168.67,False,16.0
28.0,B,f,105.57,False,6.0
25.0,E,f,90.99,False,12.0
25.0,B,f,86.14,False,12.0
39.0,D,f,179.9,False,15.0
24.0,D,f,81.46,False,14.0
43.0,B,f,107.26,False,3.0
31.0,B,m,67.11,False,1.0
35.0,B,f,96.56,False,3.0
27.0,B,m,91.47,False,2.0
38.0,B,m,83.92,False,4.0
31.0,A,f,127.93,False,5.0
35.0,B,f,93.08,False,7.0
40.0,B,f,155.16,False,3.0
59.0,C,f,110.14,False,5.0
28.0,B,f,128.35,False,1.0
37.0,B,f,79.25,False,7.0
38.0,C,m,85.43,False,4.0
40.0,B,f,121.8,False,1.0
46.0,B,m,97.88,False,19.0
55.0,A,m,126.17,False,24.0
34.0,B,f,102.27,False,4.0
49.0,B,f,107.99,False,4.0
33.0,C,f,109.44,True,17.0
44.0,B,f,301.24,False,41.0
40.0,B,m,97.94,False,3.0
40.0,C,f,101.63,False,12.0
36.0,C,m,83.13,False,3.0
41.0,B,f,133.11,False,6.0
28.0,E,f,78.14,False,2.0
45.0,B,f,106.66,False,8.0
34.0,C,f,111.19,False,19.0
35.0,B,f,97.85,False,2.0
46.0,B,f,89.57,False,1.0
47.0,B,f,101.72,False,5.0
23.0,B,m,179.65,False,11.0
33.0,B,f,105.05,False,9.0
48.0,B,f,153.83,False,4.0
46.0,B,f,157.66,False,6.0
30.0,C,f,74.89,False,9.0
29.0,B,f,67.58,False,1.0
40.0,B,f,148.96,True,13.0
31.0,B,m,120.36,False,8.0
28.0,E,m,141.18,False,10.0
34.0,B,f,80.84,False,2.0
41.0,C,f,108.75,False,11.0
24.0,B,f,112.2,False,10.0
26.0,B,f,133.73,False,9.0
39.0,B,f,115.66,False,4.0
46.0,B,f,103.26,False,2.0
27.0,C,f,90.73,False,7.0
52.0,B,f,144.82,False,6.0
40.0,B,f,115.59,True,14.0
18.0,C,m,144.02,False,7.0
30.0,B,f,198.07,False,12.0
39.0,B,m,90.39,False,3.0
33.0,B,f,86.4,False,6.0
38.0,E,f,125.13,False,8.0
35.0,B,f,143.76,False,1.0
40.0,B,f,121.48,False,4.0
30.0,E,m,60.58,False,6.0
40.0,B,f,115.99,False,5.0
36.0,B,f,73.25,False,4.0
36.0,B,m,136.35,False,7.0
31.0,B,f,75.74,False,5.0
42.0,C,f,154.94,False,2.0
39.0,B,m,73.75,False,7.0
45.0,B,f,153.78,False,2.0
53.0,C,f,120.27,False,5.0
35.0,B,f,93.65,False,3.0
22.0,B,f,59.09,False,5.0
38.0,C,f,107.97,False,10.0
31.0,B,f,76.72,False,4.0
39.0,B,m,112.24,False,15.0
34.0,B,m,86.26,False,1.0
42.0,A,f,94.35,False,10.0
31.0,B,f,147.7,False,6.0
27.0,D,m,75.26,False,6.0
36.0,D,f,125.98,False,16.0
42.0,B,f,172.09,False,4.0
46.0,B,m,112.3,False,2.0
29.0,A,m,85.02,False,1.0
35.0,B,f,88.74,False,8.0
18.0,B,m,54.34,False,9.0
30.0,B,m,128.65,False,22.0
22.0,B,f,123.82,True,13.0
39.0,B,m,77.37,False,2.0
30.0,A,f,96.77,False,2.0
22.0,B,m,53.07,False,6.0
56.0,E,f,146.84,False,11.0
43.0,B,f,178.4,False,3.0
29.0,E,m,98.08,True,13.0
51.0,A,f,125.51,False,3.0
57.0,B,f,142.44,False,3.0
31.0,A,m,89.08,False,5.0
43.0,B,f,247.9,False,6.0
46.0,B,f,137.23,False,8.0
41.0,B,f,96.49,False,4.0
36.0,B,f,83.76,False,5.0
26.0,B,f,94.4,False,1.0
54.0,B,m,103.93,False,4.0
37.0,E,f,91.98,False,3.0
48.0,B,f,119.99,False,3.0
23.0,A,m,72.05,False,8.0
33.0,B,m,110.36,False,11.0
35.0,A,f,153.34,False,2.0
40.0,B,m,133.98,True,19.0
51.0,D,m,129.36,False,12.0
36.0,B,m,131.58,False,19.0
26.0,B,f,94.27,False,2.0
37.0,E,f,238.58,False,40.0
28.0,C,f,173.99,True,20.0
51.0,B,m,91.54,False,3.0
22.0,E,f,74.3,False,21.0
35.0,B,m,113.93,False,2.0
43.0,C,f,119.84,False,14.0
47.0,B,m,172.03,False,4.0
33.0,B,m,67.41,False,8.0
44.0,E,m,100.87,False,7.0
37.0,B,m,63.55,False,6.0
34.0,C,m,177.47,False,13.0
36.0,B,m,100.09,False,14.0
50.0,E,f,177.45,False,7.0
55.0,B,f,163.9,False,5.0
20.0,B,m,98.39,False,5.0
36.0,B,m,96.91,False,15.0
28.0,B,m,95.6,False,2.0
29.0,B,f,149.37,False,8.0
31.0,B,f,118.36,False,11.0
34.0,B,f,106.71,True,18.0
39.0,B,f,156.69,True,18.0
37.0,B,m,110.21,False,7.0
36.0,A,f,193.08,False,6.0
18.0,B,f,98.64,True,22.0
47.0,B,f,184.41,False,8.0
55.0,B,m,145.41,False,5.0
32.0,B,f,92.08,False,2.0
45.0,E,f,121.68,False,5.0
34.0,B,f,110.52,False,3.0
35.0,B,f,124.94,False,18.0
18.0,B,m,37.46,False,3.0
33.0,B,f,115.99,False,25.0
44.0,B,m,95.59,False,7.0
30.0,B,f,105.15,False,7.0
38.0,B,f,153.79,False,2.0
33.0,B,f,82.57,False,5.0
26.0,A,f,80.26,False,10.0
26.0,D,f,111.91,False,2.0
24.0,B,f,128.95,True,25.0
48.0,C,f,146.91,False,9.0
33.0,B,f,117.86,False,1.0
42.0,A,f,124.41,False,8.0
39.0,B,f,117.92,False,18.0
36.0,E,f,133.25,False,5.0
59.0,A,m,149.96,False,3.0
24.0,B,f,72.45,False,7.0
23.0,B,f,94.13,False,3.0
34.0,B,f,95.53,False,3.0
38.0,B,m,126.27,False,1.0
50.0,E,m,102.2,False,8.0
52.0,B,f,97.54,False,7.0
27.0,B,m,87.93,False,11.0
27.0,A,f,73.95,False,10.0
36.0,B,f,114.96,False,3.0
34.0,B,f,111.33,False,11.0
28.0,A,f,93.03,False,6.0
34.0,C,f,178.58,False,12.0
44.0,B,f,88.13,False,1.0
26.0,D,f,77.16,False,3.0
25.0,B,m,76.95,False,1.0
41.0,B,f,94.55,False,5.0
40.0,B,f,75.52,False,4.0
53.0,B,f,130.57,False,1.0
33.0,B,f,96.29,False,15.0
47.0,B,m,179.47,False,7.0
25.0,B,m,158.23,True,19.0
27.0,B,m,68.62,False,2.0
39.0,B,f,96.61,False,1.0
36.0,B,m,112.79,False,16.0
37.0,B,m,137.59,False,8.0
41.0,B,f,128.01,False,3.0
46.0,B,f,164.03,False,9.0
40.0,B,f,219.09,False,10.0
34.0,B,f,231.84,False,2.0
33.0,B,f,54.28,False,5.0
35.0,C,f,177.8,False,1.0
29.0,A,f,108.02,False,8.0
25.0,B,f,64.91,False,5.0
40.0,B,f,76.06,False,5.0
43.0,E,f,129.58,False,3.0
42.0,B,f,151.88,False,2.0
31.0,B,f,97.8,False,2.0
44.0,B,f,130.32,True,17.0
49.0,B,m,150.07,False,9.0
50.0,C,f,117.18,False,2.0
59.0,E,f,106.59,False,3.0
27.0,B,f,92.77,False,8.0
56.0,E,m,96.37,False,17.0
44.0,B,f,130.92,False,7.0
19.0,B,m,38.64,False,4.0
37.0,B,m,91.74,False,3.0
27.0,B,f,89.98,False,4.0
49.0,A,f,115.27,False,16.0
31.0,B,f,77.78,False,12.0
20.0,B,m,96.74,False,15.0
35.0,B,f,82.01,False,3.0
27.0,B,m,203.95,False,1.0
24.0,B,m,56.91,False,13.0
48.0,B,m,115.59,False,7.0
25.0,B,m,85.46,True,15.0
28.0,B,f,106.32,False,5.0
30.0,B,f,102.77,False,4.0
36.0,B,f,93.16,False,4.0
29.0,B,f,79.42,False,3.0
47.0,B,m,93.16,False,1.0
22.0,B,f,75.39,False,1.0
28.0,E,m,101.87,False,20.0
26.0,A,f,104.26,False,3.0
36.0,B,m,179.47,True,15.0
45.0,C,f,127.25,False,2.0
20.0,E,m,47.2,False,11.0
54.0,B,f,184.84,False,11.0
24.0,A,f,74.92,False,3.0
38.0,C,f,73.23,False,2.0
30.0,E,f,121.57,False,3.0
39.0,B,m,103.06,False,7.0
36.0,B,f,147.95,False,7.0
43.0,B,m,123.09,False,6.0
42.0,B,f,107.43,False,9.0
26.0,B,f,89.79,False,5.0
28.0,E,m,101.91,False,6.0
30.0,B,m,89.6,False,5.0
45.0,B,f,141.82,False,2.0
38.0,B,m,152.57,False,11.0
29.0,C,f,120.33,False,4.0
32.0,E,f,138.79,False,3.0
22.0,B,m,98.57,True,13.0
46.0,A,f,206.37,False,5.0
45.0,B,m,85.29,False,3.0
30.0,B,m,118.41,True,18.0
25.0,B,f,75.3,False,7.0
24.0,E,f,153.64,False,15.0
40.0,E,f,174.63,False,1.0
44.0,C,f,94.97,False,11.0
25.0,B,m,75.48,False,10.0
45.0,B,f,135.31,False,6.0
48.0,B,f,128.55,False,7.0
25.0,B,m,70.0,False,5.0
58.0,B,f,136.27,False,15.0
26.0,B,f,122.07,False,23.0
30.0,B,m,76.39,False,14.0
26.0,A,f,71.79,False,7.0
32.0,B,m,211.41,True,32.0
32.0,A,m,97.06,False,10.0
30.0,B,f,131.61,False,6.0
24.0,B,f,70.92,False,5.0
45.0,B,f,101.24,False,5.0
39.0,B,m,93.53,False,1.0
50.0,B,m,121.44,False,16.0
32.0,B,m,109.31,False,5.0
52.0,E,f,123.65,False,5.0
34.0,B,f,92.05,False,1.0
40.0,D,f,167.87,False,4.0
42.0,B,f,203.36,True,32.0
39.0,B,m,185.79,False,13.0
28.0,B,f,63.22,False,6.0
31.0,C,f,66.58,False,12.0
30.0,B,m,211.21,True,13.0
45.0,E,m,90.62,False,7.0
46.0,E,f,135.3,False,2.0
29.0,C,f,116.8,False,11.0
22.0,B,m,76.49,False,2.0
61.0,E,f,102.89,False,9.0
28.0,B,m,56.55,False,2.0
54.0,B,f,134.61,False,5.0
44.0,A,f,192.59,False,3.0
47.0,B,m,107.47,False,8.0
35.0,B,f,74.91,False,4.0
26.0,E,m,127.91,True,14.0
18.0,B,f,111.52,False,14.0
38.0,B,f,86.64,False,6.0
20.0,B,m,77.9,True,17.0
43.0,B,f,132.23,False,9.0
37.0,B,f,91.83,False,15.0
54.0,B,m,102.7,True,19.0
26.0,B,f,72.95,False,2.0
51.0,B,m,111.51,False,1.0
47.0,B,f,143.13,False,8.0
50.0,B,f,112.87,False,5.0
36.0,B,f,132.54,False,10.0
23.0,B,m,94.02,False,3.0
42.0,E,m,101.04,False,1.0
36.0,B,f,81.93,False,10.0
30.0,B,f,96.23,False,1.0
32.0,A,m,115.64,False,3.0
21.0,B,f,73.21,False,7.0
35.0,B,m,117.84,False,2.0
38.0,B,f,129.17,False,7.0
24.0,B,f,168.85,False,32.0
25.0,E,f,54.44,False,1.0
41.0,D,f,172.96,False,7.0
64.0,B,f,131.75,False,6.0
26.0,E,f,142.22,False,24.0
27.0,A,m,68.1,False,2.0
36.0,B,f,69.46,False,5.0
27.0,B,f,158.68,False,5.0
29.0,B,f,82.37,False,3.0
41.0,C,f,102.94,False,4.0
28.0,B,f,116.26,False,24.0
30.0,B,f,100.63,False,2.0
39.0,B,f,121.06,False,9.0
40.0,B,f,125.31,False,7.0
20.0,B,m,53.16,False,7.0
32.0,B,f,106.7,False,5.0
45.0,B,m,129.62,False,18.0
37.0,B,m,86.47,False,2.0
25.0,B,f,89.71,False,2.0
31.0,B,f,117.17,False,13.0
56.0,E,f,140.42,False,3.0
26.0,B,f,60.93,False,8.0
35.0,B,f,107.85,False,3.0
21.0,E,f,116.36,False,4.0
34.0,B,f,110.23,False,3.0
36.0,B,m,129.13,False,21.0
48.0,E,m,135.31,False,8.0
36.0,B,m,79.15,False,2.0
37.0,B,f,89.1,False,4.0
44.0,A,m,117.49,False,15.0
47.0,B,m,128.89,False,2.0
28.0,B,m,66.41,False,5.0
49.0,B,f,114.12,False,5.0
31.0,B,f,170.46,False,2.0
50.0,C,f,193.66,False,7.0
34.0,B,f,154.31,False,2.0
53.0,A,m,126.92,False,3.0
41.0,B,f,136.62,False,5.0
31.0,B,f,176.68,True,20.0
39.0,E,f,156.22,False,9.0
29.0,A,f,88.53,False,3.0
52.0,B,f,135.27,False,12.0
39.0,B,f,137.12,False,1.0
48.0,B,f,138.08,False,4.0
30.0,B,m,88.36,False,3.0
32.0,A,f,175.43,False,8.0
47.0,B,f,143.46,False,15.0
37.0,B,f,101.92,False,4.0
33.0,E,f,83.06,False,2.0
30.0,E,f,78.81,False,6.0
35.0,B,m,84.0,False,6.0
64.0,B,f,144.02,False,6.0
26.0,B,m,49.22,False,4.0
46.0,B,f,135.73,False,12.0
31.0,B,f,102.12,False,7.0
35.0,A,m,111.88,False,1.0
26.0,E,m,94.41,False,3.0
51.0,C,m,102.35,False,14.0
36.0,E,m,132.59,False,1.0
43.0,B,f,124.27,True,17.0
24.0,B,m,142.24,False,8.0
27.0,B,f,233.77,True,17.0
27.0,B,f,64.09,False,7.0
35.0,B,m,70.44,False,4.0
47.0,A,f,102.22,False,1.0
37.0,B,m,75.46,False,3.0
31.0,B,m,101.52,False,8.0
23.0,B,f,162.7,True,23.0
